Unnamed: 0,date,name,country,venue,clean_country
0,"Sep 5, 2021",Flen - Lilla Manschetten 2021,"Sweden, Flen",Aktivitetshuset Skjortan,Sweden
1,"Sep 4 - 5, 2021",SST Naprawa 2021,"Poland, Naprawa",Zespół Szkolno-Przedszkolny w Naprawie ,Poland
2,"Sep 4, 2021",Flen - Stora Manschetten 2021,"Sweden, Flen",Aktivitetshuset Skjortan,Sweden
4,"Aug 28 - 29, 2021",Bologna Back from Holidays 2021,"Italy, Castenaso, Bologna",PalaGioBat,Italy
5,"Aug 28 - 29, 2021",Osijek Re-Open 2021,"Croatia, Osijek",Ekonomski fakultet u Osijeku,Croatia
6,"Aug 28 - 29, 2021",Project Kedzierzyn-Kozle 2021,"Poland, Kędzierzyn-Koźle",Zespół Szkół nr 1 im. Powstańców Śląskich ,Poland
7,"Aug 28, 2021",Szczytno Open 2021,"Poland, Szczytno",ZSO 3 in Szczytno,Poland
8,"Aug 21 - 22, 2021",Horse City 2021,"Ukraine, Konotop",Center of Junior Creativity,Ukraine
9,"Aug 21 - 22, 2021",BrizZon Side Open II 2021,"Poland, Poznań",Klub BrizZon,Poland
10,"Aug 15, 2021",Offline Schwyz Sunday 2021,"Switzerland, Schwyz",Kantonsschule Kollegium Schwyz,Switzerland
11,"Aug 14 - 15, 2021",Welcome Back Again Jkpg 2021,"Sweden, Jönköping",Kulturhuset,Sweden
12,"Aug 14, 2021",Offline Schwyz Saturday 2021,"Switzerland, Schwyz",Kantonsschule Kollegium Schwyz,Switzerland
14,"Aug 7 - 8, 2021",Project Pawłowice 2021,"Poland, Pawłowice",Gminny Ośrodek Sportu ,Poland
15,"Aug 7 - 8, 2021",Vilnius Open 2021,"Lithuania, Vilnius",Faculty of Medicine Vilnius University,Lithuania
16,"Aug 7 - 8, 2021",Cubes Masters Zhytomyr 2021,"Ukraine, Zhytomyr","Business centre ""Imperial""",Ukraine
18,"Jul 31 - Aug 1, 2021",Bergen Open 2021,"Norway, Bergen",Nordnes Bydelshus,Norway
19,"Jul 31 - Aug 1, 2021",Bologna Summer Open 2021,"Italy, Castenaso, Bologna",PalaGioBat,Italy
22,"Jul 24 - 25, 2021",Bucharest Cubing Days 2021,"Romania, Bucharest",Romanian American University,Romania
24,"Jul 24 - 25, 2021",LLS III Zamość 2021,"Poland, Zamość",Szkoła Postawowa nr 3 im. Elizy Orzeszkowej w Zamościu,Poland
27,"Jul 18, 2021",Villeneuve-lès-Avignon B 2021,"France, Villeneuve-lès-Avignon",Salle des Haut de Villeneuve,France
31,"Jul 17 - 18, 2021",BrizZon Side Open 2021,"Poland, Poznań",Klub BrizZon,Poland
